,place,properties,finishing_level,area,bathrooms,bedrooms,price
217,"Maadi,Maadi Sarayat",Apartments,Semi Furnished,250 Sqm,3 Bathrooms,4 Bedrooms,"4,300,000 Egp"
218,"Maadi,Maadi Sarayat",Apartments,Semi Furnished,400 Sqm,4 Bathrooms,3 Bedrooms,"4,500,000 Egp"
219,"Maadi,Maadi Sarayat",Apartments,Unfurnished ,424 Sqm,3 Bathrooms,3 Bedrooms,"5,200,000 Egp"
220,"Maadi,Maadi Sarayat",Apartments,Semi Furnished,180 Sqm,3 Bathrooms,3 Bedrooms,"2,500,000 Egp"
221,"Maadi,Maadi Degla",Apartments,Furnished ,165 Sqm,2 Bathrooms,3 Bedrooms,"1,800,000 Egp"
222,"Maadi,Maadi Degla",Apartments,Furnished ,225 Sqm,2 Bathrooms,3 Bedrooms,"1,750,000 Egp"
223,"Maadi,Maadi Degla",Apartments,Furnished ,185 Sqm,2 Bathrooms,3 Bedrooms,"1,600,000 Egp"
224,"Maadi,Maadi Degla",Duplexes,Semi Furnished,400 Sqm,3 Bathrooms,4 Bedrooms,"5,000,000 Egp"
225,"Maadi,Maadi Sarayat",Apartments,Semi Furnished,320 Sqm,4 Bathrooms,4 Bedrooms,"5,000,000 Egp"
226,"Maadi,Maadi Zahraa",Apartments,Unfurnished ,175 Sqm,2 Bathrooms,2 Bedrooms,"1,700,000 Egp"
